"Id","Predicted"
1,9745.24780611742
2,9626.89506877049
3,9675.0385551489
4,9713.15214853181
5,9874.6334257594
6,9717.16410573001
7,9736.22090242146
8,9736.22090242146
9,9768.31656000707
10,9706.13122343496
11,9660.9967049552
12,9763.30161350932
13,9758.28666701157
14,9716.16111643046
15,9733.21193452281
16,9658.9907263561
17,9814.45406778638
18,9719.17008432911
19,9751.26574191472
20,9715.15812713091
21,9756.28068841247
22,9701.11627693721
23,9705.12823413541
24,9794.39428179538
25,9638.93094036509
26,9783.36139950033
27,9745.24780611742
28,9786.37036739898
29,9771.32552790572
30,9707.13421273451
31,9749.25976331562
32,9820.47200358368
33,9697.10431973901
34,9798.40623899358
35,9785.36737809943
36,9729.19997732461
37,9757.28367771202
38,9680.05350164665
39,9719.17008432911
40,9700.11328763766
41,9770.32253860617
42,9738.22688102057
43,9711.14616993271
44,9745.24780611742
45,9796.40026039448
46,9768.31656000707
47,9772.32851720527
48,9652.9727905588
49,9729.19997732461
50,9710.14318063316
51,9701.11627693721
52,9813.45107848683
53,9794.39428179538
54,9803.42118549133
55,9705.12823413541
56,9733.21193452281
57,9740.23285961967
58,9766.31058140797
59,9786.37036739898
60,9780.35243160168
61,9729.19997732461
62,9795.39727109493
63,9685.0684481444
64,9771.32552790572
65,9759.28965631112
66,9708.13720203406
67,9766.31058140797
68,9691.08638394171
69,9728.19698802506
70,9715.15812713091
71,9825.48695008143
72,9811.44509988773
73,9696.10133043946
74,9680.05350164665
75,9740.23285961967
76,9712.14915923226
77,9800.41221759268
78,9668.01763005205
79,9699.11029833811
80,9643.94588686284
81,9730.20296662416
82,9672.02958725025
83,9760.29264561067
84,9731.20595592371
85,9711.14616993271
86,9774.33449580437
87,9767.31357070752
88,9754.27470981337
89,9773.33150650482
90,9786.37036739898
91,9775.33748510392
92,9693.0923625408
93,9650.9668119597
94,9771.32552790572
95,9700.11328763766
96,9733.21193452281
97,9756.28068841247
98,9668.01763005205
99,9715.15812713091
100,9674.03556584935
101,9671.0265979507
102,9689.08040534261
103,9681.0564909462
104,9745.24780611742
105,9773.33150650482
106,9833.51086447784
107,9786.37036739898
108,9757.28367771202
109,9757.28367771202
110,9756.28068841247
111,9815.45705708593
112,9696.10133043946
113,9747.25378471652
114,9775.33748510392
115,9714.15513783136
116,9749.25976331562
117,9707.13421273451
118,9746.25079541697
119,9699.11029833811
120,9757.28367771202
121,9724.18503082686
122,9806.43015338998
123,9717.16410573001
124,9722.17905222776
125,9753.27172051382
126,9759.28965631112
127,9787.37335669853
128,9739.22987032012
129,9722.17905222776
130,9761.29563491022
131,9730.20296662416
132,9795.39727109493
133,9731.20595592371
134,9701.11627693721
135,9667.0146407525
136,9816.46004638548
137,9748.25677401607
138,9763.30161350932
139,9739.22987032012
140,9726.19100942596
141,9809.43912128863
142,9788.37634599808
143,9797.40324969403
144,9714.15513783136
145,9844.54374677289
146,9727.19399872551
147,9735.21791312191
148,9757.28367771202
149,9657.98773705655
150,9691.08638394171
151,9749.25976331562
152,9779.34944230212
153,9711.14616993271
154,9757.28367771202
155,9736.22090242146
156,9819.46901428413
157,9759.28965631112
158,9821.47499288323
159,9716.16111643046
160,9851.56467186974
161,9742.23883821877
162,9753.27172051382
163,9723.18204152731
164,9836.51983237649
165,9784.36438879988
166,9688.07741604305
167,9698.10730903856
168,9766.31058140797
169,9752.26873121427
170,9750.26275261517
171,9759.28965631112
172,9709.14019133361
173,9656.984747757
174,9741.23584891922
175,9748.25677401607
176,9803.42118549133
177,9718.16709502956
178,9742.23883821877
179,9720.17307362866
180,9699.11029833811
181,9828.49591798009
182,9767.31357070752
183,9774.33449580437
184,9814.45406778638
185,9747.25378471652
186,9781.35542090123
187,9698.10730903856
188,9756.28068841247
189,9798.40623899358
190,9809.43912128863
191,9820.47200358368
192,9726.19100942596
193,9704.12524483586
194,9836.51983237649
195,9695.09834113991
196,9766.31058140797
197,9798.40623899358
198,9724.18503082686
199,9790.38232459718
200,9789.37933529763
201,9742.23883821877
202,9702.11926623676
203,9749.25976331562
204,9781.35542090123
205,9782.35841020078
206,9710.14318063316
207,9731.20595592371
208,9777.34346370302
209,9756.28068841247
210,9747.25378471652
211,9748.25677401607
212,9761.29563491022
213,9850.56168257019
214,9711.14616993271
215,9758.28666701157
216,9743.24182751832
217,9794.39428179538
218,9747.25378471652
219,9727.19399872551
220,9697.10431973901
221,9837.52282167604
222,9774.33449580437
223,9779.34944230212
224,9725.18802012641
225,9769.31954930662
226,9772.32851720527
227,9743.24182751832
228,9782.35841020078
229,9784.36438879988
230,9705.12823413541
231,9753.27172051382
232,9709.14019133361
233,9665.0086621534
234,9698.10730903856
235,9774.33449580437
236,9827.49292868053
237,9799.40922829313
238,9712.14915923226
239,9748.25677401607
240,9749.25976331562
241,9695.09834113991
242,9724.18503082686
243,9807.43314268953
244,9790.38232459718
245,9650.9668119597
246,9708.13720203406
247,9788.37634599808
248,9838.52581097559
249,9703.12225553631
250,9693.0923625408
251,9740.23285961967
252,9793.39129249583
253,9822.47798218279
254,9739.22987032012
255,9767.31357070752
256,9791.38531389673
257,9787.37335669853
258,9734.21492382236
259,9745.24780611742
260,9683.0624695453
261,9705.12823413541
262,9843.54075747334
263,9740.23285961967
264,9775.33748510392
265,9698.10730903856
266,9772.32851720527
267,9747.25378471652
268,9736.22090242146
269,9713.15214853181
270,9813.45107848683
271,9721.17606292821
272,9738.22688102057
273,9827.49292868053
274,9678.04752304755
275,9742.23883821877
276,9817.46303568503
277,9753.27172051382
278,9802.41819619178
279,9719.17008432911
280,9771.32552790572
281,9808.43613198908
282,9736.22090242146
283,9774.33449580437
284,9831.50488587874
285,9738.22688102057
286,9725.18802012641
287,9672.02958725025
288,9773.33150650482
289,9764.30460280887
290,9747.25378471652
291,9764.30460280887
292,9697.10431973901
293,9789.37933529763
294,9768.31656000707
295,9736.22090242146
296,9747.25378471652
297,9661.99969425475
298,9782.35841020078
299,9761.29563491022
300,9770.32253860617
301,9599.81435768264
302,9701.11627693721
303,9761.29563491022
304,9713.15214853181
305,9732.20894522326
306,9775.33748510392
307,9733.21193452281
308,9718.16709502956
309,9785.36737809943
310,9743.24182751832
311,9718.16709502956
312,9760.29264561067
313,9776.34047440347
314,9778.34645300257
315,9692.08937324126
316,9738.22688102057
317,9819.46901428413
318,9785.36737809943
319,9741.23584891922
320,9704.12524483586
321,9727.19399872551
322,9776.34047440347
323,9789.37933529763
324,9708.13720203406
325,9723.18204152731
326,9752.26873121427
327,9699.11029833811
328,9809.43912128863
329,9767.31357070752
330,9763.30161350932
331,9721.17606292821
332,9818.46602498458
333,9681.0564909462
334,9752.26873121427
335,9734.21492382236
336,9760.29264561067
337,9729.19997732461
338,9754.27470981337
339,9780.35243160168
340,9716.16111643046
341,9783.36139950033
342,9707.13421273451
343,9798.40623899358
344,9742.23883821877
345,9784.36438879988
346,9767.31357070752
347,9732.20894522326
348,9687.0744267435
349,9739.22987032012
350,9738.22688102057
351,9743.24182751832
352,9713.15214853181
353,9695.09834113991
354,9750.26275261517
355,9728.19698802506
356,9722.17905222776
357,9744.24481681787
358,9776.34047440347
359,9775.33748510392
360,9826.48993938098
361,9706.13122343496
362,9690.08339464216
363,9776.34047440347
364,9673.0325765498
365,9717.16410573001
366,9679.0505123471
367,9804.42417479088
368,9734.21492382236
369,9776.34047440347
370,9712.14915923226
371,9703.12225553631
372,9777.34346370302
373,9762.29862420977
374,9806.43015338998
375,9700.11328763766
376,9774.33449580437
377,9770.32253860617
378,9803.42118549133
379,9748.25677401607
380,9616.86517577499
381,9726.19100942596
382,9815.45705708593
383,9792.38830319628
384,9875.63641505895
385,9640.93691896419
386,9765.30759210842
387,9711.14616993271
388,9793.39129249583
389,9807.43314268953
390,9790.38232459718
391,9765.30759210842
392,9736.22090242146
393,9785.36737809943
394,9648.9608333606
395,9750.26275261517
396,9852.56766116929
397,9779.34944230212
398,9643.94588686284
399,9783.36139950033
400,9745.24780611742
401,9731.20595592371
402,9757.28367771202
403,9748.25677401607
404,9714.15513783136
405,9687.0744267435
406,9774.33449580437
407,9670.02360865115
408,9714.15513783136
409,9764.30460280887
410,9744.24481681787
411,9731.20595592371
412,9868.61548996209
413,9741.23584891922
414,9688.07741604305
415,9769.31954930662
416,9841.53477887424
417,9812.44808918728
418,9690.08339464216
419,9760.29264561067
420,9715.15812713091
421,9736.22090242146
422,9706.13122343496
423,9756.28068841247
424,9746.25079541697
425,9664.00567285385
426,9831.50488587874
427,9676.04154444845
428,9660.9967049552
429,9683.0624695453
430,9781.35542090123
